epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1248,2.12206,2.84829,1.54417,0.43398,0.46963,0.3888,0.20368,2.30255,2.11289,1.4938,3.32367e-05,3.32367e-05,0.0667965
2,34.549,1.85782,1.86311,1.31505,0.5701,0.52412,0.58359,0.27058,2.10577,1.92488,1.36103,6.62405e-05,6.62405e-05,0.0334962
3,50.7589,1.79965,1.71493,1.28272,0.53418,0.6142,0.54451,0.30255,2.04551,1.94384,1.31511,9.89143e-05,9.89143e-05,0.000195533
4,66.8476,1.72194,1.59181,1.22283,0.64898,0.56155,0.61916,0.33147,2.05194,1.85077,1.33708,9.8515e-05,9.8515e-05,9.8515e-05
5,83.0471,1.67145,1.45097,1.19657,0.56338,0.66049,0.58539,0.33384,2.04456,1.76998,1.29645,9.802e-05,9.802e-05,9.802e-05
6,99.2388,1.61459,1.36685,1.16684,0.53685,0.66199,0.5938,0.33535,1.95368,1.74293,1.26734,9.7525e-05,9.7525e-05,9.7525e-05
7,115.351,1.59528,1.30473,1.16241,0.43215,0.64198,0.61021,0.3589,1.98635,1.80344,1.30134,9.703e-05,9.703e-05,9.703e-05
8,131.456,1.58258,1.24263,1.1475,0.58084,0.62037,0.56245,0.30435,2.03039,1.81307,1.30613,9.6535e-05,9.6535e-05,9.6535e-05
9,147.618,1.56721,1.21908,1.12004,0.63675,0.58687,0.57324,0.29913,2.04715,1.70014,1.30811,9.604e-05,9.604e-05,9.604e-05
10,163.674,1.50843,1.16365,1.11282,0.74651,0.47531,0.61335,0.35476,1.92717,1.81632,1.30775,9.5545e-05,9.5545e-05,9.5545e-05
11,179.771,1.4837,1.14367,1.10722,0.64876,0.57099,0.59032,0.33227,1.99866,1.82633,1.31387,9.505e-05,9.505e-05,9.505e-05
12,195.809,1.45047,1.08803,1.08456,0.61797,0.641,0.63571,0.3256,1.98203,1.80094,1.32474,9.4555e-05,9.4555e-05,9.4555e-05
13,211.905,1.473,1.08867,1.08065,0.54585,0.60759,0.60336,0.34591,1.92,1.72069,1.30442,9.406e-05,9.406e-05,9.406e-05
14,228.005,1.44176,1.02815,1.07897,0.57692,0.55864,0.60442,0.34858,1.96963,1.75066,1.31521,9.3565e-05,9.3565e-05,9.3565e-05
15,244.179,1.43764,1.01474,1.07334,0.67927,0.56138,0.58678,0.35044,1.94213,1.87554,1.3106,9.307e-05,9.307e-05,9.307e-05
16,260.32,1.3911,0.99767,1.06033,0.58209,0.50168,0.56548,0.31455,1.96375,1.7181,1.31544,9.2575e-05,9.2575e-05,9.2575e-05
17,276.421,1.36791,0.96582,1.05854,0.66948,0.61203,0.62852,0.35406,1.94763,1.65485,1.31416,9.208e-05,9.208e-05,9.208e-05
18,292.437,1.37166,0.94144,1.04396,0.56831,0.53191,0.58259,0.33318,1.94002,1.89325,1.31038,9.1585e-05,9.1585e-05,9.1585e-05
19,308.553,1.3447,0.93587,1.0469,0.52242,0.62733,0.56699,0.32581,1.91726,1.78659,1.28775,9.109e-05,9.109e-05,9.109e-05
20,324.597,1.3252,0.9269,1.03676,0.54506,0.60494,0.59731,0.3176,2.03422,1.72638,1.32311,9.0595e-05,9.0595e-05,9.0595e-05
21,340.709,1.33334,0.91655,1.02841,0.45984,0.62654,0.53853,0.27472,2.03565,1.7642,1.33597,9.01e-05,9.01e-05,9.01e-05
22,356.808,1.30421,0.88801,1.02319,0.62733,0.58096,0.61286,0.35288,1.8789,1.54294,1.26713,8.9605e-05,8.9605e-05,8.9605e-05
23,372.956,1.32569,0.89762,1.02212,0.64071,0.51944,0.5913,0.36074,1.95036,1.67962,1.30483,8.911e-05,8.911e-05,8.911e-05
24,389.114,1.29026,0.85721,1.01459,0.67072,0.6306,0.6585,0.37484,1.92364,1.63283,1.29249,8.8615e-05,8.8615e-05,8.8615e-05
25,405.252,1.26945,0.84903,1.0115,0.58117,0.63842,0.61007,0.35126,2.04346,1.84376,1.33233,8.812e-05,8.812e-05,8.812e-05
26,421.4,1.24327,0.80929,0.99617,0.61411,0.58385,0.58938,0.35813,2.07131,1.74549,1.32986,8.7625e-05,8.7625e-05,8.7625e-05
