epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8594,2.14028,3.3037,2.08788,1.52822,0,0.74378,0.59963,0.67811,0.33074,0.20417,0.15444,0.05259,0.0069,1.68665,6.15821,1.46456,1.28765,0,3.31288e-05,3.31288e-05,0.0669043
2,39.7569,1.66557,2.54306,1.29024,1.20918,0,0.82397,0.72973,0.78614,0.40132,0.75433,0.68919,0.69755,0.27267,1.63017,2.61396,1.14854,1.28074,0,6.61332e-05,6.61332e-05,0.033604
3,59.4192,1.62528,2.45197,1.22414,1.18915,0,0.82471,0.72663,0.80846,0.39884,0.8212,0.70046,0.76796,0.29203,1.67067,2.32761,1.1108,1.26423,0,9.88075e-05,9.88075e-05,0.000303307
4,78.8447,1.56338,2.30701,1.11805,1.16332,0,0.84624,0.73359,0.81032,0.40167,0.80714,0.69884,0.73694,0.26119,1.64286,2.5563,1.09081,1.28008,0,9.8515e-05,9.8515e-05,9.8515e-05
5,97.8784,1.53472,2.29752,1.08262,1.16167,0,0.76319,0.77027,0.78058,0.38536,0.73821,0.73359,0.72454,0.27891,1.67355,2.3005,1.0972,1.26897,0,9.802e-05,9.802e-05,9.802e-05
6,116.887,1.54286,2.27363,1.03779,1.16539,0,0.83103,0.75959,0.84071,0.4415,0.80909,0.73634,0.79892,0.33573,1.57327,2.30967,0.99033,1.25571,0,9.7525e-05,9.7525e-05,9.7525e-05
7,136.365,1.48525,2.14509,1.01061,1.13142,0,0.80032,0.7529,0.81368,0.44453,0.77821,0.71803,0.76241,0.31092,1.52562,2.26832,0.98646,1.23168,0,9.703e-05,9.703e-05,9.703e-05
8,155.33,1.4708,2.14395,0.99137,1.12363,0,0.79802,0.7278,0.79262,0.4225,0.77638,0.66409,0.71062,0.29444,1.56924,2.35781,1.0751,1.23843,0,9.6535e-05,9.6535e-05,9.6535e-05
9,174.407,1.44343,2.09228,0.94686,1.11553,0,0.75842,0.82046,0.83191,0.45223,0.79736,0.72923,0.78777,0.33406,1.56716,2.2483,0.95427,1.25235,0,9.604e-05,9.604e-05,9.604e-05
10,193.802,1.45579,2.11206,0.96119,1.13506,0,0.77966,0.75825,0.79512,0.42733,0.75105,0.72008,0.73728,0.29582,1.55701,2.3087,1.01,1.24156,0,9.5545e-05,9.5545e-05,9.5545e-05
11,212.749,1.41848,2.02489,0.93939,1.10803,0,0.80208,0.76448,0.80885,0.44352,0.79025,0.71279,0.75314,0.31915,1.53234,2.17705,0.9781,1.23256,0,9.505e-05,9.505e-05,9.505e-05
