epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5199,0.79906,1.1636,1.25518,0.64245,0.74912,0.71004,0.59814,0.66677,0.88792,1.14064,3.31288e-05,3.31288e-05,0.0669043
2,65.1505,0.67084,0.83493,1.1692,0.72123,0.75583,0.7739,0.66762,0.57349,0.73663,1.09656,6.61332e-05,6.61332e-05,0.033604
3,96.5193,0.64832,0.78515,1.14898,0.77819,0.79758,0.8166,0.71587,0.5313,0.6332,1.06472,9.88075e-05,9.88075e-05,0.000303307
4,127.537,0.64703,0.75627,1.15786,0.81252,0.79051,0.81218,0.72021,0.49667,0.64027,1.05528,9.8515e-05,9.8515e-05,9.8515e-05
5,157.907,0.61129,0.74607,1.13,0.74881,0.81743,0.82063,0.73268,0.50587,0.64549,1.04769,9.802e-05,9.802e-05,9.802e-05
6,188.255,0.60777,0.7315,1.13549,0.79648,0.80623,0.81579,0.73154,0.48374,0.61996,1.02755,9.7525e-05,9.7525e-05,9.7525e-05
7,218.395,0.59241,0.71078,1.11811,0.80614,0.78935,0.83344,0.74376,0.50277,0.60646,1.04354,9.703e-05,9.703e-05,9.703e-05
8,248.824,0.589,0.69596,1.12591,0.75341,0.84191,0.83937,0.75272,0.48307,0.64224,1.06045,9.6535e-05,9.6535e-05,9.6535e-05
9,279.268,0.60688,0.6706,1.14083,0.81103,0.80773,0.84122,0.7613,0.46108,0.58669,1.05812,9.604e-05,9.604e-05,9.604e-05
10,309.603,0.58615,0.65447,1.12881,0.80365,0.8198,0.83323,0.74373,0.49522,0.58087,1.11569,9.5545e-05,9.5545e-05,9.5545e-05
11,339.564,0.56962,0.66171,1.11682,0.77112,0.818,0.82767,0.73821,0.46952,0.60514,1.05504,9.505e-05,9.505e-05,9.505e-05
12,369.996,0.58077,0.65979,1.12567,0.79934,0.79595,0.82821,0.75081,0.47378,0.59417,1.05385,9.4555e-05,9.4555e-05,9.4555e-05
13,399.894,0.54727,0.63303,1.09782,0.80633,0.80678,0.84025,0.7499,0.46814,0.56969,1.04883,9.406e-05,9.406e-05,9.406e-05
14,429.847,0.56552,0.64257,1.12072,0.81003,0.79483,0.82898,0.74354,0.45638,0.57793,1.06167,9.3565e-05,9.3565e-05,9.3565e-05
15,459.922,0.56581,0.63991,1.10887,0.81012,0.80491,0.83969,0.75681,0.46139,0.57192,1.07141,9.307e-05,9.307e-05,9.307e-05
16,490.028,0.5466,0.62509,1.09945,0.80002,0.81072,0.83874,0.76113,0.47189,0.58769,1.05504,9.2575e-05,9.2575e-05,9.2575e-05
17,520.024,0.54816,0.62062,1.09911,0.83132,0.76777,0.84678,0.76575,0.46753,0.57494,1.06709,9.208e-05,9.208e-05,9.208e-05
18,550.845,0.54405,0.60849,1.09744,0.79811,0.818,0.849,0.77085,0.45647,0.59473,1.07016,9.1585e-05,9.1585e-05,9.1585e-05
19,581.653,0.53939,0.60185,1.09872,0.81432,0.81261,0.86082,0.78051,0.45444,0.56138,1.04977,9.109e-05,9.109e-05,9.109e-05
20,612.518,0.52657,0.59365,1.08608,0.75059,0.84576,0.85188,0.76969,0.47048,0.56883,1.05635,9.0595e-05,9.0595e-05,9.0595e-05
21,642.971,0.52287,0.56524,1.07909,0.78323,0.82548,0.84934,0.77062,0.45367,0.55782,1.05449,9.01e-05,9.01e-05,9.01e-05
22,673.381,0.52649,0.56275,1.08275,0.80602,0.83823,0.85803,0.77767,0.46118,0.57027,1.04877,8.9605e-05,8.9605e-05,8.9605e-05
23,703.663,0.52819,0.56387,1.08766,0.75935,0.81396,0.83752,0.75721,0.45756,0.6135,1.0703,8.911e-05,8.911e-05,8.911e-05
24,734.275,0.51932,0.5619,1.07558,0.75252,0.84813,0.85548,0.77837,0.4547,0.54665,1.0512,8.8615e-05,8.8615e-05,8.8615e-05
25,764.628,0.52724,0.56861,1.09123,0.81449,0.78385,0.85799,0.78108,0.4425,0.57706,1.05785,8.812e-05,8.812e-05,8.812e-05
26,795.229,0.52594,0.5378,1.08208,0.78314,0.80397,0.84837,0.76992,0.45034,0.58266,1.06476,8.7625e-05,8.7625e-05,8.7625e-05
27,825.564,0.50394,0.52675,1.06442,0.79183,0.82293,0.84885,0.77171,0.45088,0.57856,1.07396,8.713e-05,8.713e-05,8.713e-05
28,855.966,0.49683,0.52826,1.06003,0.79484,0.81411,0.84216,0.76414,0.45213,0.57823,1.05373,8.6635e-05,8.6635e-05,8.6635e-05
29,885.818,0.50516,0.54073,1.06306,0.74369,0.85282,0.85895,0.77382,0.46149,0.57782,1.03544,8.614e-05,8.614e-05,8.614e-05
30,915.692,0.52189,0.54152,1.07949,0.77349,0.84481,0.86432,0.788,0.45183,0.60233,1.06335,8.5645e-05,8.5645e-05,8.5645e-05
31,945.974,0.48934,0.50813,1.0567,0.82471,0.81899,0.86404,0.79054,0.4247,0.58038,1.04075,8.515e-05,8.515e-05,8.515e-05
32,976.202,0.49558,0.50531,1.06262,0.78269,0.82551,0.85728,0.78122,0.4384,0.57645,1.04859,8.4655e-05,8.4655e-05,8.4655e-05
33,1006.18,0.49667,0.5003,1.07426,0.75576,0.8241,0.84225,0.76838,0.4434,0.58869,1.06009,8.416e-05,8.416e-05,8.416e-05
34,1036.22,0.49357,0.49481,1.05609,0.80868,0.79086,0.84963,0.77764,0.42902,0.58042,1.0359,8.3665e-05,8.3665e-05,8.3665e-05
35,1066.16,0.50449,0.4904,1.06402,0.77101,0.81242,0.8358,0.75935,0.43269,0.58939,1.02973,8.317e-05,8.317e-05,8.317e-05
36,1096.17,0.49553,0.47957,1.06236,0.75276,0.83588,0.83779,0.75748,0.45151,0.61636,1.03225,8.2675e-05,8.2675e-05,8.2675e-05
37,1126.55,0.48414,0.46667,1.05497,0.80896,0.77578,0.84466,0.76885,0.43664,0.59603,1.06548,8.218e-05,8.218e-05,8.218e-05
38,1156.47,0.47764,0.46537,1.05512,0.76481,0.80066,0.84323,0.76721,0.44807,0.60681,1.05052,8.1685e-05,8.1685e-05,8.1685e-05
39,1186.31,0.49001,0.50337,1.05532,0.72202,0.84028,0.83595,0.76851,0.43194,0.59252,1.06483,8.119e-05,8.119e-05,8.119e-05
40,1216.19,0.46361,0.45919,1.04016,0.81598,0.75601,0.83935,0.7672,0.43378,0.61697,1.08709,8.0695e-05,8.0695e-05,8.0695e-05
41,1246.13,0.48537,0.47904,1.0653,0.79644,0.79279,0.84452,0.77086,0.44188,0.6223,1.10706,8.02e-05,8.02e-05,8.02e-05
42,1276.11,0.47228,0.46847,1.05755,0.83008,0.81805,0.85043,0.77491,0.44603,0.59506,1.11122,7.9705e-05,7.9705e-05,7.9705e-05
43,1305.98,0.48569,0.47675,1.05808,0.80922,0.77323,0.84189,0.76829,0.43121,0.60554,1.1029,7.921e-05,7.921e-05,7.921e-05
44,1335.91,0.47839,0.45292,1.05385,0.79674,0.7904,0.82614,0.74969,0.4397,0.63639,1.12234,7.8715e-05,7.8715e-05,7.8715e-05
45,1365.76,0.47738,0.43869,1.04666,0.78674,0.83313,0.83747,0.76482,0.43498,0.608,1.09545,7.822e-05,7.822e-05,7.822e-05
46,1395.75,0.46552,0.4393,1.03751,0.79702,0.79414,0.83982,0.76633,0.43279,0.61902,1.08113,7.7725e-05,7.7725e-05,7.7725e-05
47,1425.75,0.46526,0.42245,1.03799,0.75693,0.82546,0.84748,0.76788,0.45332,0.65166,1.10463,7.723e-05,7.723e-05,7.723e-05
48,1455.61,0.4847,0.43762,1.0543,0.79882,0.79242,0.85518,0.77466,0.45022,0.64349,1.1073,7.6735e-05,7.6735e-05,7.6735e-05
49,1485.53,0.46317,0.41529,1.04071,0.81155,0.76899,0.83825,0.76299,0.43299,0.61406,1.09745,7.624e-05,7.624e-05,7.624e-05
50,1515.89,0.45266,0.42548,1.03466,0.74832,0.82553,0.83495,0.76109,0.43466,0.62502,1.07216,7.5745e-05,7.5745e-05,7.5745e-05
51,1545.76,0.45826,0.40798,1.03069,0.75025,0.83405,0.83064,0.75757,0.41906,0.61842,1.06467,7.525e-05,7.525e-05,7.525e-05
52,1575.72,0.46696,0.42579,1.04422,0.84356,0.79466,0.85651,0.78217,0.43436,0.58839,1.07293,7.4755e-05,7.4755e-05,7.4755e-05
53,1605.57,0.4502,0.41899,1.0296,0.82687,0.78967,0.85639,0.77902,0.42829,0.5738,1.05986,7.426e-05,7.426e-05,7.426e-05
54,1635.46,0.44938,0.40967,1.02181,0.80035,0.80838,0.86731,0.78302,0.44391,0.60146,1.05783,7.3765e-05,7.3765e-05,7.3765e-05
55,1665.33,0.44982,0.40492,1.01661,0.78488,0.8315,0.83191,0.75295,0.44008,0.66442,1.04193,7.327e-05,7.327e-05,7.327e-05
56,1695.24,0.44968,0.3982,1.02771,0.78366,0.77745,0.80963,0.73254,0.44104,0.67292,1.09503,7.2775e-05,7.2775e-05,7.2775e-05
